,0,1
0,the,31853
1,desert,17
2,tusk,5
3,pure,24
4,and,12302
5,simple,80
6,truth,188
7,is,6725
8,rarely,17
9,never,352
10,oscar,10
11,wilde,2
12,american,512
13,dinosaur,1
14,az,1
15,perspective,35
16,junk,14
17,blogspirator,2
18,crusader,6
19,cat's,1
20,musings,14
21,rat,1
22,ramblings,7
23,espresso,1
24,pundit,40
25,fort,8
26,awesome,21
27,ravings,3
28,of,14485
29,a,11805
30,mad,31
31,tech,17
32,rings,8
33,benzene,1
34,sonoran,2
35,alliance,29
36,speed,20
37,thought,214
38,blogroll,32
39,me,856
40,tuesday,107
41,october,460
42,17,82
43,2006,352
44,u.n,48
45,joke,30
46,i,4618
47,don't,716
48,even,584
49,need,326
50,to,15244
51,say,522
52,anything,184
53,this,3959
54,self-evidently,2
55,ridiculous,38
56,for,5152
57,all,1522
58,its,622
59,faults,3
60,previous,45
61,commission,47
62,occasionally,5
63,discussed,21
64,condemned,12
65,regimes,16
66,most,620
67,responsible,55
68,human,130
69,rights,227
70,crimes,35
71,such,432
72,as,2865
73,those,756
74,in,9114
75,belarus,3
76,burma,1
77,china,54
78,used,192
79,feel,151
80,compelled,8
81,burnish,3
82,record,112
83,before,370
84,annual,21
85,meeting,45
86,new,896
87,council,84
88,contrast,21
89,has,2296
90,so,1264
91,far,214
92,taken,122
93,action,126
94,on,4270
95,only,697
96,one,1483
97,country,353
98,which,752
99,dominated,9
100,debate,213
101,at,2617
102,both,302
103,regular,32
104,meetings,16
105,been,1116
106,sole,11
107,subject,71
108,two,490
109,extraordinary,12
110,sessions,7
111,israel,118
112,ludicrous,7
113,diplomatic,12
114,lynch,5
115,mob,5
116,directed,20
117,by,3364
118,organization,147
119,islamic,87
120,conference,50
121,accounts,29
122,governments,26
123,47-member,1
124,counts,23
125,support,286
126,like-minded,3
127,dictatorships,2
128,cuba,10
129,rules,75
130,allow,86
131,an,1837
132,session,13
133,be,3049
134,called,177
135,behest,2
136,just,1233
137,one-third,3
138,membership,12
139,making,188
140,it,4385
141,easy,70
142,association,53
143,orchestrate,1
144,anti-israel,6
145,spectacles,1
146,several,87
147,muslim,108
148,that,6822
149,boast,1
150,commitment,23
151,democracy,93
152,including,106
153,jordan,90
154,morocco,3
155,have,2936
156,readily,3
157,joined,37
158,willful,3
159,sabotage,3
160,values,49
161,hat,40
162,tip,48
163,lgf,24
164,posted,933
165,2:25,1
166,pm,1005
167,comments,653
168,trackback,154
169,thursday,99
170,12,103
171,"f""oenix",2
172,phoenix,3
173,many,501
174,major,180
175,cities,26
176,receive,24
177,f,31
178,evacuation,4
179,plan,145
180,case,202
181,disaster,59
182,among,133
183,20,136
184,getting,188
185,fs,1
186,group,202
187,includes,29
188,york,212
189,chicago,136
190,los,66
191,angeles,60
192,san,31
193,francisco,15
194,diego,6
195,las,13
196,vegas,4
197,i'm,587
198,not,2728
199,concerned,47
200,about,2010
201,my,1330
202,city,167
203,we,1799
204,really,480
205,much,486
206,threat,93
207,natural,43
208,disasters,8
209,think,710
210,very,447
211,high,162
212,al-qaida,16
213,target,43
214,list,126
215,but,2351
216,still,433
217,should,798
218,good,701
219,what,1593
220,concerns,36
221,l.a,14
222,also,511
223,received,68
224,failing,29
225,grade,15
226,1,291
227,terror,77
228,hit,81
229,9/11,52
230,they,2307
231,know,668
232,evacuating,1
233,people,1209
234,would,1349
235,tough,34
236,they've,57
237,had,943
238,five,82
239,years,498
240,come,252
241,up,1072
242,with,3076
243,6:45,1
244,lights,8
245,out,1186
246,north,98
247,korea,23
248,lacking,13
249,electricity,11
250,country's,26
251,power,245
252,shut,54
253,off,308
254,9,89
255,p.m,84
256,yesterday,114
257,donald,16
258,rumsfeld,16
259,released,43
260,picture,70
261,spot,39
262,light,60
263,capital,41
264,pyongyang,5
265,where,430
266,insane,7
267,dictator,15
268,kim,24
269,jong-il,2
270,resides,3
271,drudge,36
272,5:51,1
273,saturday,76
274,july,210
275,09,22
276,2005,434
277,if,1623
278,were,972
279,south,91
280,park,44
281,character,51
282,4:00,1
283,april,167
284,23,65
285,turns,45
286,started,80
287,blog,414
288,year,357
289,ago,203
290,today,394
291,it'll,7
292,back,368
293,running,160
294,few,353
295,weeks,104
296,6:40,1
297,wednesday,134
298,march,184
299,operations,28
300,suspended,13
301,you,2429
302,can,951
