,0,1
0,interesting,66
1,times,220
2,a,5689
3,coordination,2
4,group,86
5,of,6438
6,national,182
7,and,6049
8,international,70
9,news,342
10,media,203
11,organizations,35
12,october,503
13,31,100
14,2008,817
15,signs,22
16,zimbabwean,1
17,empty,15
18,supermarkets,1
19,worthless,4
20,currency,6
21,an,886
22,impending,3
23,famine,3
24,in,4209
25,what,696
26,used,89
27,to,7273
28,be,1289
29,the,14546
30,breadbasket,2
31,southern,17
32,africa,14
33,dictatorship,3
34,robert,36
35,mugabe,3
36,its,344
37,ruthless,2
38,clamp,1
39,down,245
40,on,2370
41,country's,13
42,independent,87
43,are,1248
44,quickly,14
45,exhausting,1
46,zimbabwe's,2
47,hope,88
48,reserves,5
49,photos,8
50,courtesy,6
51,www.swradioafrica.com,1
52,email,132
53,this,2194
54,friend,61
55,print,65
56,posted,531
57,by,1966
58,javier,15
59,sierra,21
60,permalink,335
61,trackback,126
62,0,282
63,30,204
64,tanzania,1
65,indepedent,1
66,journalists,18
67,show,144
68,resolve,1
69,we,965
70,have,1251
71,reported,53
72,about,1007
73,tanzania's,2
74,standing,19
75,up,559
76,arbitrary,5
77,black-outs,1
78,march,143
79,dar,3
80,el,9
81,salaam,2
82,one,758
83,would,612
84,think,395
85,that,3563
86,given,61
87,odds,7
88,against,197
89,them,419
90,they,1060
91,waiver,4
92,again,147
93,these,347
94,people,536
95,steel,2
96,their,781
97,backbones,1
98,let's,48
99,it,2139
100,from,1057
101,salaam's,1
102,guardian,7
103,name,93
104,is,3235
105,not,1282
106,only,356
107,for,2721
108,editors,20
109,different,65
110,houses,16
111,yesterday,84
112,staged,1
113,peaceful,7
114,demonstration,2
115,register,21
116,opposition,19
117,government,277
118,ban,28
119,mwanahalisi,5
120,weekly,22
121,tabloid,3
122,started,39
123,at,1568
124,lugoda,1
125,street,74
126,gerezani,1
127,near,30
128,business,74
129,offices,8
130,headed,7
131,information,96
132,ministry,4
133,along,49
134,samora,1
135,avenue,5
136,es,1
137,was,1287
138,also,308
139,supported,29
140,activists,14
141,other,445
142,organisations,2
143,marched,4
144,with,1453
145,sealed,1
146,mouths,1
147,being,235
148,mark,118
149,silencing,1
150,suppressing,8
151,freedom,87
152,displayed,3
153,placards,2
154,carried,4
155,varied,4
156,messages,6
157,all,804
158,opposed,13
159,banning,8
160,some,438
161,read,174
162,as,1420
163,follows,6
164,should,248
165,temper,7
166,press,129
167,banned,18
168,but,1176
169,corrupt,11
170,leaders,43
171,still,195
172,office,125
173,who,875
174,revealed,8
175,epa,9
176,richmond,2
177,uvccm,1
178,scandals,11
179,want,252
180,back,204
181,shall,16
182,continue,71
183,writing,31
184,until,76
185,end,83
186,world,249
187,newspapers,16
188,act,55
189,1976,6
190,abandoned,6
191,ear,2
192,mouth,17
193,eye,30
194,every,145
195,tanzanian,1
196,good,311
197,keep,95
198,making,103
199,us,384
200,proud,31
201,europeana,4
202,welcome,22
203,addition,12
204,open-ended,1
205,knowledge,19
206,most,298
207,posts,70
208,blog,273
209,unfortunately,19
210,do,512
211,restriction,1
212,very,252
213,rarely,8
214,encounter,3
215,opportunity,32
216,write,51
217,initiatives,9
218,aim,3
219,opening,18
220,gates,5
221,european,15
222,union,35
223,launch,6
224,digital,7
225,encyclopedia,1
226,europe's,1
227,cultural,14
228,heritage,16
229,already,99
230,calling,23
231,ambitious,6
232,project,62
233,digitize,1
234,large,58
