,0
0,interesting
1,times
2,a
3,coordination
4,group
5,of
6,national
7,and
8,international
9,news
10,media
11,organizations
12,october
13,31
14,2008
15,signs
16,zimbabwean
17,empty
18,supermarkets
19,worthless
20,currency
21,an
22,impending
23,famine
24,in
25,what
26,used
27,to
28,be
29,the
30,breadbasket
31,southern
32,africa
33,dictatorship
34,robert
35,mugabe
36,its
37,ruthless
38,clamp
39,down
40,on
41,country's
42,independent
43,are
44,quickly
45,exhausting
46,zimbabwe's
47,hope
48,reserves
49,photos
50,courtesy
51,www.swradioafrica.com
52,email
53,this
54,friend
55,print
56,posted
57,by
58,javier
59,sierra
60,permalink
61,trackback
62,0
63,30
64,tanzania
65,indepedent
66,journalists
67,show
68,resolve
69,we
70,have
71,reported
72,about
73,tanzania's
74,standing
75,up
76,arbitrary
77,black-outs
78,march
79,dar
80,el
81,salaam
82,one
83,would
84,think
85,that
86,given
87,odds
88,against
89,them
90,they
91,waiver
92,again
93,these
94,people
95,steel
96,their
97,backbones
98,let's
99,it
100,from
101,salaam's
102,guardian
103,name
104,is
105,not
106,only
107,for
108,editors
109,different
110,houses
111,yesterday
112,staged
113,peaceful
114,demonstration
115,register
116,opposition
117,government
118,ban
119,mwanahalisi
120,weekly
121,tabloid
122,started
123,at
124,lugoda
125,street
126,gerezani
127,near
128,business
129,offices
130,headed
131,information
132,ministry
133,along
134,samora
135,avenue
136,es
137,was
138,also
139,supported
140,activists
141,other
142,organisations
143,marched
144,with
145,sealed
146,mouths
147,being
148,mark
149,silencing
150,suppressing
151,freedom
152,displayed
153,placards
154,carried
155,varied
156,messages
157,all
158,opposed
159,banning
160,some
161,read
162,as
163,follows
164,should
165,temper
166,press
167,banned
168,but
169,corrupt
170,leaders
171,still
172,office
173,who
174,revealed
175,epa
176,richmond
177,uvccm
178,scandals
179,want
180,back
181,shall
182,continue
183,writing
184,until
185,end
186,world
187,newspapers
188,act
189,1976
190,abandoned
191,ear
192,mouth
193,eye
194,every
195,tanzanian
196,good
197,keep
198,making
199,us
200,proud
201,europeana
202,welcome
203,addition
204,open-ended
205,knowledge
206,most
207,posts
208,blog
209,unfortunately
210,do
211,restriction
212,very
213,rarely
214,encounter
215,opportunity
216,write
217,initiatives
218,aim
219,opening
220,gates
221,european
222,union
223,launch
224,digital
225,encyclopedia
226,europe's
227,cultural
228,heritage
229,already
230,calling
231,ambitious
232,project
233,digitize
234,large
235,portions
236,continent's
237,libraries
238,put
239,much
240,civilization
241,possible
242,books
243,maps
244,paintings
245,films
246,online
247,free
248,web
249,site
250,moment
