Liberal words:
digby 5.0726
rittenhouse 5.0003
2002-2006 4.7926
pst 4.7454
cesca 4.4684
_ 4.3795
brooklynkat 4.3071
tristero 4.2818
rogers 4.2818
goldfarb 4.0522
holtz-eakin 4.0522
dday 3.9505
theatre 3.9141
kleiman 3.9141
mathew 3.8371
pinky 3.7537
mydd 3.7093
rdan 3.6628
tex 3.6628
melissa 3.6140
Conservative words
slublog 6.2935
kyer 5.1625
kerry's 4.4380
discerningtexan 4.1775
galloway 3.8006
author 3.7011
ridenour 3.5864
bangor 3.4422
date 3.3929
loading 3.2529
eason 3.2319
lileks 3.1884
leftism 3.1429
jacoby 3.1194
fma 3.1194
spinoff 3.0706
hugh 3.0367
ellison 2.9653
body 2.9508
domenico 2.9371


i) Unlike the topwords observation the top log odds words are very unique to the liberal and conservative blogs. 
ii) These words can be used to ditinguish between liberal and conservative blogs
iii) There is not overlapping between the two list
iv) This method is a better way to judge the classification of the blog post rather than only calculating the top words.
